STATE ID,STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,PERIOD
1,Abia,10,19,1,30,146,31,177,279,Q4 2020
2,Adamawa,14,63,0,77,234,36,270,443,Q4 2020
3,Akwa Ibom,6,13,3,22,28,7,35,89,Q4 2020
4,Anambra,14,41,17,72,152,20,172,526,Q4 2020
5,Bauchi,45,108,1,154,685,90,775,1182,Q4 2020
6,Bayelsa,0,1,0,1,3,0,3,3,Q4 2020
7,Benue,10,43,24,77,177,25,202,254,Q4 2020
8,Borno,8,17,0,25,67,16,83,118,Q4 2020
9,Cross River,9,19,5,33,65,11,76,164,Q4 2020
10,Delta,25,36,6,67,182,36,218,407,Q4 2020
11,Ebonyi,10,16,1,27,82,11,93,200,Q4 2020
12,Edo,20,29,6,55,118,32,150,311,Q4 2020
13,Ekiti,8,20,2,30,71,9,80,185,Q4 2020
14,Enugu,9,24,11,44,116,30,146,387,Q4 2020
15,FCT,71,182,59,312,572,90,662,1543,Q4 2020
16,Gombe,18,50,2,70,231,26,257,459,Q4 2020
17,Imo,9,20,2,31,91,15,106,230,Q4 2020
18,Jigawa,27,61,4,92,318,64,382,628,Q4 2020
19,Kaduna,93,175,13,281,1010,224,1234,2234,Q4 2020
20,Kano,54,46,2,102,499,194,693,1013,Q4 2020
21,Katsina,19,54,4,77,277,39,316,421,Q4 2020
22,Kebbi,21,33,4,58,222,56,278,387,Q4 2020
23,Kogi,23,82,17,122,335,55,390,851,Q4 2020
24,Kwara,26,64,12,102,313,60,373,694,Q4 2020
25,Lagos,14,61,38,113,181,21,202,602,Q4 2020
26,Nasarawa,42,112,46,200,513,65,578,961,Q4 2020
27,Niger,27,80,3,110,347,91,438,653,Q4 2020
28,Ogun,59,160,60,279,548,83,631,1678,Q4 2020
29,Ondo,49,56,9,114,320,84,404,899,Q4 2020
30,Osun,34,65,10,109,292,52,344,711,Q4 2020
31,Oyo,41,89,25,155,385,68,453,1120,Q4 2020
32,Plateau,8,20,17,45,123,17,140,255,Q4 2020
33,Rivers,3,18,4,25,77,6,83,194,Q4 2020
34,Sokoto,12,20,0,32,138,47,185,228,Q4 2020
35,Taraba,5,53,1,59,149,7,156,284,Q4 2020
36,Yobe,24,30,2,56,383,60,443,602,Q4 2020
37,Zamfara,18,37,0,55,252,40,292,475,Q4 2020
38,Abia,16,23,5,44,119,35,154,289,Q1 2021
39,Adamawa,11,73,0,84,251,21,272,437,Q1 2021
40,Akwa Ibom,7,12,3,22,35,12,47,117,Q1 2021
41,Anambra,9,55,16,80,147,9,156,575,Q1 2021
42,Bauchi,52,78,1,131,634,115,749,1138,Q1 2021
43,Bayelsa,0,6,1,7,15,0,15,29,Q1 2021
44,Benue,10,27,15,52,123,15,138,187,Q1 2021
45,Borno,8,23,0,31,78,24,102,149,Q1 2021
46,Cross River,12,13,0,25,50,30,80,135,Q1 2021
47,Delta,21,39,11,71,196,51,247,482,Q1 2021
48,Ebonyi,10,19,2,31,121,27,148,274,Q1 2021
49,Edo,20,30,6,56,140,51,191,386,Q1 2021
50,Ekiti,10,19,2,31,101,13,114,175,Q1 2021
51,Enugu,24,36,6,66,222,37,259,505,Q1 2021
52,FCT,41,177,60,278,518,56,574,1289,Q1 2021
53,Gombe,11,59,2,72,232,31,263,388,Q1 2021
54,Imo,7,7,2,16,71,17,88,116,Q1 2021
55,Jigawa,15,50,2,67,264,35,299,443,Q1 2021
56,Kaduna,104,147,5,256,1149,196,1345,2151,Q1 2021
57,Kano,33,100,4,137,604,100,704,1013,Q1 2021
58,Katsina,19,52,0,71,287,29,316,469,Q1 2021
59,Kebbi,13,31,0,44,139,21,160,263,Q1 2021
60,Kogi,38,83,22,143,425,94,519,1361,Q1 2021
61,Kwara,25,62,13,100,369,69,438,680,Q1 2021
62,Lagos,23,73,55,151,243,26,269,709,Q1 2021
63,Nasarawa,37,100,39,176,452,77,529,931,Q1 2021
64,Niger,25,82,1,108,492,93,585,809,Q1 2021
65,Ogun,58,173,68,299,670,82,752,1908,Q1 2021
66,Ondo,32,76,7,115,290,43,333,752,Q1 2021
67,Osun,22,72,11,105,317,43,360,749,Q1 2021
68,Oyo,56,107,13,176,399,103,502,1169,Q1 2021
69,Plateau,10,25,13,48,130,15,145,251,Q1 2021
70,Rivers,3,16,2,21,54,4,58,118,Q1 2021
71,Sokoto,15,22,0,37,119,33,152,205,Q1 2021
72,Taraba,8,58,1,67,213,12,225,315,Q1 2021
73,Yobe,17,24,1,42,235,35,270,379,Q1 2021
74,Zamfara,8,33,0,41,153,14,167,235,Q1 2021
75,Abia,10,11,0,21,69,19,88,177,Q2 2021
76,Adamawa,11,76,3,90,280,21,301,468,Q2 2021
77,Akwa Ibom,6,9,1,16,32,10,42,87,Q2 2021
